Date,Price,Open,High,Low,Vol.,Change %,CPIAUCSL
2011-11-14,"1,778.40","1,789.40","1,797.60","1,774.20",87.59K,-0.54%,227.169
2011-11-11,"1,788.10","1,759.60","1,791.10","1,745.00",106.88K,1.62%,227.169
2011-11-10,"1,759.60","1,771.00","1,776.90","1,736.60",172.53K,-1.79%,227.169
2011-11-09,"1,791.60","1,787.40","1,801.10","1,765.10",161.80K,-0.42%,227.169
2011-11-08,"1,799.20","1,795.80","1,804.40","1,778.30",133.69K,0.45%,227.169
2011-11-07,"1,791.10","1,756.10","1,799.90","1,754.00",150.46K,1.99%,227.169
2011-11-04,"1,756.10","1,766.50","1,766.50","1,749.80",88.47K,-0.51%,227.169
2011-11-03,"1,765.10","1,738.90","1,769.50","1,724.00",162.55K,2.05%,227.169
2011-11-02,"1,729.60","1,721.50","1,745.60","1,715.50",148.07K,1.04%,227.169
2011-11-01,"1,711.80","1,715.70","1,725.60","1,681.20",174.29K,-0.78%,227.169
2011-10-31,"1,725.20","1,743.10","1,746.50","1,705.50",122.24K,-1.26%,226.75
2011-10-28,"1,747.20","1,746.20","1,754.00","1,733.00",107.44K,-0.03%,226.75
2011-10-27,"1,747.70","1,726.90","1,751.30","1,707.20",156.35K,1.40%,226.75
2011-10-26,"1,723.50","1,707.10","1,728.00","1,696.50",151.51K,1.36%,226.75
2011-10-25,"1,700.40","1,654.10","1,710.70","1,644.60",195.64K,2.91%,226.75
2011-10-24,"1,652.30","1,643.00","1,663.30","1,636.60",110.14K,0.99%,226.75
2011-10-21,"1,636.10","1,620.90","1,649.80","1,612.80",127.05K,1.44%,226.75
2011-10-20,"1,612.90","1,645.30","1,646.50","1,604.70",188.36K,-2.07%,226.75
2011-10-19,"1,647.00","1,656.40","1,666.90","1,641.10",118.15K,-0.35%,226.75
2011-10-18,"1,652.80","1,672.50","1,678.20","1,628.20",195.66K,-1.42%,226.75
2011-10-17,"1,676.60","1,683.80","1,696.80","1,665.40",114.50K,-0.38%,226.75
2011-10-14,"1,683.00","1,669.00","1,685.50","1,662.50",95.60K,0.87%,226.75
2011-10-13,"1,668.50","1,677.30","1,686.10","1,654.30",115.59K,-0.84%,226.75
2011-10-12,"1,682.60","1,664.70","1,693.90","1,662.00",112.77K,1.30%,226.75
2011-10-11,"1,661.00","1,678.30","1,686.70","1,655.40",110.06K,-0.59%,226.75
